Text,Post Link
"А чё пересказывать? Обычное недопонимание людей, у которых в головах путаница между реальностью и абстракцией. Они пытаются ограничения/правила абстракций своего мирка(будь-то С++, жава, пхп мирок) перенести в реальный мир.



Статья для ололошей, который не читали мануалы и не курили матчасть, для которых всякие флажки fstream::binary что-то значат и для которых ""текстовый ""файл чем-то отличается от ""бинарного"". 



Пересказывать такие банальности, как EOF и флаги конца строки, что любой << из стримов переганяет всё в ascii? Что fstream с fstream::binary запишет << 123 как строку?","172103"
"@alexlz, Я не хамлю. Надаел сливать и юлить. Говори конкретно, где я пишу не по-русски и какие слова ты не понимаешь, а так твоё бла-бла тухло.



Теперь конкретно опиши те вещи, которые я не знаю и не понимаю. Ответь на вопрос.


У меня нет образования, я тебе уже ответил.


Какие структуры, что ты несёшь? Ты увидел коммент @avp и пытаешься мне что-то доказать, даже не понимая того, что говоришь? 


Какими соглашениями, и как так не может и почему ты мне, как я уже понял, мне не скажешь? 


Толку от твоего бла-бла в комментах? А тыж приплюснутый - всё понятно.","171901"
"ну их же нужно еще сгруппировать, немного включи воображалку-то!!!

Никто полностью писать за тебя не будет.

Твой вопрос содержит много непонятного, как будто писал мальчик из детсада.","252324"
"детсад какой-то. Теорию СУБД учите вместо того, чтоб глупости спрашивать","200060"
"Вам, как занимающегося разработкой очень давно за такой вопрос не в гугл послать нужно, на мочеиспускательный орган. Тупее вопроса в жизни, Вы вообще даун наверное.","417108"
"если оно ""хитрое"", то значит сделали его руки которые растут из опы, а значит в ответ его и добавлять не стоит.","417185"
"@falstaf  не правильно, нужно показывать как набирать(а то ведь не знают как печатать)! [вот пример поиска][1]  



[а вот тут можно повторить][2] 


  [1]: http://lmgtfy.com/?q=c%2B%2B+read+text+file+line+by+line
  [2]: http://lmgtfy.com/","258989"
"Черт возьми, какой мудак (извините за крепкое выражение, но иначе не назовешь) составлял эти вопросы?","398214"
"Судя по всему проблема не с ""дурацким"" maven, а в кривостью чьих-то рук не могущих нормально использовать инструмент. Вы наверное и попав молотком по пальцу будете обвинять его во всех бедах.","417201"
"Ни разу еще не видел, чтобы UML реально использовался в реальной жизни (ну кроме понтов манагеров). Полностью согласен с известной критикой UML:

>Obviously the UML will not be useful to any software developer. 
>Could it perhaps be useful to someone else? Project managers, 
>perhaps? Company executives? The companies themselves? Of course 
>not. Indeed the documents make no pretense of such usefulness, and 
>for good reason. It is hard to imagine what benefit a business 
>could get from pages of cryptic diagrams about hazy properties of a 
>poorly understood system.","287788"
"Помочь чем? Послать? Я это предыдущими сообщениями уже сделал. Можете считать что достигли своей цели!","418814"
"чётко, хуле!","19177"
"да в моем примере много чего не хватает, много где стоит троеточие! Вы пишете больше текста о документации и про документацию нежели какой-то небольшой реальный пример, как такой запрос написать, отправить, обработать и вывести на экран... и опять же вы здесь, что бы тыкать ссылки на документацию? что вы хотите таким образом показать? ссылки на документацию я и сам могу найти...","415517"
"а зачем вы здесь находитесь GrayHoax? ссылки тыкать на документацию? я и сам их могу найти...","415533"
"Я голосую за закрытие этого вопроса как не соответствующего теме, потому что вопросы ""напишите за меня код"" должны отправляться на freelance.com","424301"
"Вопрос сродни ""Как удалить опухоль головного мозга, в домашних условиях, пару раз видел фото операции""...","426485"
"Дикое сообщество. Вопрос о пользе ООП возникал или будет возникать у всех нормальных людей, которые копают в глубь, а не снимают то что плавает-вручают на поверхности. И вместо того чтобы развить тему, её закрывают из-за глупых доводов и аргументов ""а если бы у бабушки был ** она была бы дедушкой"". Ну и конечно нужно всем минусовать! По сути черти только и голосуют, которые только пиз*ть умеют.","425147"
"Ебутчие пидарасы","425750"
"долдоны бляццкие","425750"
"Abyx тебя забыли спросить, если тебя что-то не устраивает то молчи","424890"
"Я часть программы написал, а дальше не понимаю. Предлагаешь сидеть сложа руки","424890"
"Бля, что за пидарасы писали этот сайт?
Гандоны хуевы.","425750"
"в гугле забанен?    
https://www.google.com.ua/webhp?sourceid=chrome-instant&ion=1&espv=2&es_th=1&ie=UTF-8#q=jquery%20onclick%20for%20each%20img&es_th=1","426005"
"Вообще-то name - это объект, судя по коду. Зачем его проверять регуляркой? )","47547"
"кончай спамить уже","425411"
"Тогда тем более сочувствую. И почему всякие малолетки, азов не освоив, а уже прутся игры писать? То есть браться за смую сложную заначу, пока ещё в горшок ходить не научились.","422284"
"Да! В топку автора! В ТОП-КУ!!!","420537"
"Как из одного языка сделать другой, и нахрена это надо...","212203"
"А что такого сложного в словах ""рефакторинг"" и ""паттерны""? Или они просто так круто звучат, что их сложно понять? И зачем читать мегатонны ""букав"", когда в справочнике написано про паттерны: это работает так, это так, другое так. Что я делаю дальше? Дальше я начинаю экспериментировать, пробовать, учиться. И как вы можете судить о собственном опыте, а не книжном, даже не зная на собственной шкуре, что это такое? А теоретически такие люди более грамотны, более подкованы, более сообразительны, ведь пока за вас думала книжка, они обучались сами. А это самое ценное.","166996"
"Отвечающие так по-видимому изучили java'у. И им хочется, чтобы и другие её изучали, ""чтоб жизнь мёдом не казалась""А вообеще есть правило ""программы под линукс никому не нужны. Что означает: есть некоторые линуксоспецифичные вещи, их без нужды использовать не надо. А так нижний уровень -- POSIX,  который много кто поддерживает, про qt-gtk и говорить не стоит.","114236"
"@duddeniska, какой нахрен select?  
Его мало того, что в условии нет, так ты хочешь, чтобы код брал его, а не input'а, значения?  
Сформулируй нормально вопрос.","412136"
"А нахуа их смещать? Просто макс+1. Оно ведь только для сортировки и надо...","394296"
"опять какой-то лабиринт: для того, чтобы установить первое, вам необходимо установить второе, а для того, чтобы установить второе, вам потребуется установка третьего, и т. д... Я уже столько всего установил на компьютер, что уже желание пропадает. Сколько это будет продолжаться? неужели, для того, чтобы воспользоваться технологией websocket, нужно проделать такой огромный путь? И что больше всего бесит - нужно переустановить ОСЬ и поставить linux. Да не хочу я этот линукс ставить!!!","352727"
"как бы эту задачу так решать нельзя

>  не предлагать способ через if else

потому что автор неадекватен","68482"
"Ответ на рекламное (про фирму) :) сообщение:но ты можешь присвоить указателю (в java этот термин не используется) на объект ссылку на объект-потомок (upcasting кажись). А затем обратно (downcasting). И всё нормально. И если напутал - положил в клетку для животных крокодила, а потом, ожидая собачку, его достал - то это проблемы рантайма. И в той же джаве динамическая проверка типов - самый главный тормоз. И сравни типизацию языках-братьях ocaml и F#. А насколько строже типизация в ocaml без возможностей .net .","14579"
"Я понимаю, что Windows сети это широкий вопрос, но подскажите хоть, в какую сторону копать? Может есть хорошие книги по Вин Серверам?","338907"
"Palmervan, харе стебаться надо мной ).","45665"
"Причем здесь это? Мне надо найти среди скриптов нужную функцию, я не могу искать ее вручную залезая в каждый файл.","55848"
"Сударь, да вы ебанулись.","62808"
"@Shrek, вот-вот, но тут вообще непойми, что у него) task12.php -> task10.php","57661"
"Спасибо что дополнил но толку мало: мой Dev его легко компилирует но!!! при запуске всеравно ""connect() == -1"" незнаю даже что с этим делать? Я собирал с ws2_32.","73670"
"На крайний случай оставил этот вариант.","119639"
"@Riolu - вы причину бы для начала изучили, а не тупо следствие, если делать что-то так, то ни один инструмент( протокол, язык и т.д.) не спасут вас от неизбежного **пи**с**ца** :)","143858"
"Отличный ответ ^_^    $a = 'aaa'; $b = 0;    var_dump($a == true && $b == false && $a == $b);","152433"
"Если будет хотя бы 100 одновременных посещений - мускуль ляжет почти навернякаНу если конечно это не dedicated server с 4-мя 4-ядерными ксеонами и 32 гигами оперативки :)","162716"
"@KoVadim вам всё равно будет не интересно :-) И вы видимо не поняли, о чем я написал в своем комментарии. Слили - т.е. через хостинг как-то умудрились пролезть. Я могу вам отдельно зашифровать парочку файлов, если уж так желаете покопаться.","169430"
"Дело в том что для меня и так сошло бы, но галерея это как отдельная страница сайта, который на CMS, и этим сайтом управлять буду не я один. Представь когда не знающий человек решит добавить фотку, это будет полный ахтунг))) Мой начальник уже как то раз поменял на сайте текст, так я потом не нашел куска страницы )))))","200308"
"`Администратор` оказывается надо было писать по РУССКИ!!!! - т.е. ""Ђ¤¬Ё­Ёбва в®а""  А Винда не может проверку юзера устроить... тоже мне... корпорация монстров!","344905"
"Это все Smarty!!!!","208460"
"Али, ёбаная, луя.

**Ajax**!","223003"
"Как бы да. Просто если ты скачал новую версию доунгрейд делать не вариант. И единственное спасение это проверять версию ios и нужные методы подставлять. И да как говорил aknew симулятором проверяйте все ньюансы... А то может и предпроцесорных ифов не надо.","214191"
"бд построена абы как ( нифига не понятно","227555"
"@artuska, че тут умную физиономию то корчить?
Если есть дельный совет по улучшению кода, будьте добры! А так - не нужно оскорблять новичков!!!","234377"
"@Deus граммар наци ? Как хочу - так и выражопываюсь!","246356"
"Про MVC все так красиво расписано аж страшно стало. Но сомневаюсь что в реальном случае это приживётся, особенно на заводе, где я работаю.  К примеру база над которой сейчас работаю ДО МЕНЯ выглядела вот так - http://goo.gl/8qYfrqИ после того я переделал базу - http://goo.gl/J8yHCM . В некоторых полях вообще через пробел цифры были (это так списки были организованы). Таблица Block вообще тихий ужас - 121 столбец.Так что сейчас еще более менее какая то структура есть. Но до идеала конечно далеко, но это уже клиент надо пилить правильно, а как я не знаю пока что.","247983"
"@jcmax, если не обрабатывается POST - это либо связка апача, мускула и пхп неправильно настроена, либо руки не из того места.","255457"
"В браузере `javascript:alert(/^[-a-zA-Z\u0410-\u044F\']+$/.test(""ааа""));`работает. Так что проверьте у себя браузер, кодировки, опечатки.","62216"
"@pyatak и много у тебя адресов в разных подсетях? при каком-то аврале я блочу подсеть.. но конечно вручную пока, но у меня есть точная логика, которую можно делать.","345375"
"вернуло дофига много, терминал захлебнулся. очередь я дропнул    `postsuper -d ALL` но ничего не понял =(","345448"
"да я то думал что она не пустая раз на экран выводит вопрос в принципе снят, это я конечно же криворук.","268628"
"Сейчас вряд ли - рынок слишком перегрет в пользу соискателей. Некоторые конторы совсем  уж школьников берут из-за нехватки  кадров","283907"
"я знаю что такое хеш, но он обычно ставится либо в хедер http-пакета, либо как параметр гет или пост, у вас он точно не там стоит. Ну либо что-то уж очень хитрое и нестандартное на сервере накручено, такое тоже бывает. Кстати, а вебморда у этой штуки есть? МОжет там посмотреть каким-нибудь firebug'ом просто посмотреть что именно и как отправляет  браузер при запросе видео?","288334"
"В методе прописано такое имя по умолчанию, но я могу выбрать другой файл, с другим именем... Так вот откуда мне выдрать эту переменную, этого  имени файла?","321271"
"Спасибо, понял)эти кавычки сведут меня с ума","328352"
"Я уже вроде сам разобрался, извините за беспокойство. Можно закрывать вопрос. Я просто думал, что там какая-то хитрость в записи, ан нет, просто криворук.","361698"
"@cy6erGn0m не мне тебе советовать(12 vs 5)... но подобные рекомендации к сокращению говнокода не приводят. Почти никогда. Единственный случай - это когда невыспавшийся, закрутившийся, замотавшийся профи постит рано утром код перед уходом на работу, а потом об этом забывает. Тогда когда он отдохнет, он взглянет на коммент, на свой код, последует совету и... о чудо!!! напишет все хорошо. Это не тот случай.","44559"
"Тогда уж лучше:    <input type=""checkbox"" id=""check-1"" />    <label id=""count-check-1"" for=""check-1"">15 Человек</label>И `<label>` свою функциональность выполняет и тегов меньше :)","58523"
"А если я наберу адрес в адресной строке, а не перейду по ссылке? - реферер пустой будет.

Свичи уже запрещено использовать? - Нет, можно, но такие свичи - говнокод в чистом виде, и это не только мое мнение, нет.

Кэп здесь: реферер пустой, а значит пришли не по ссылке, а значит ошибка.","67062"
"<? if( $val > 0 ) { ?>
        <? echo 'yes'; ?>
    <? } ?>
    <? else { ?>
        <? echo 'no'; ?>
    <? } ?>

И нахлина накое делать? Сразу видно что человек не имеет понятия что такое ООП! Попробуйте написать крупный class с множеством функций в таком говностиле, перед самим собой то удобно будет смотреть такой код?","83308"
"@uWeb 

> даза банных

Подробнее о новой технологии пожалуйста. И  короче говнокоммент! Перезагрузил браузер - уже прошло время! Включи мозг для его положительной идентификации с внешним миром!","73019"
"Правильный ответ. Настоящий программист, для специфической задачи - разберется с необходимым языком. Но не станет городить тонны кода на том языке, который знает!","29872"
"Именно, и любой jsкрипт с ним подружится) хотя не рекомендовано! А в случае 5 страничек кода он ваще н... не нужен этот doctype! К примеру для ПС(поисковых систем) он тупо серобуромалиновй на ощупь!","87303"
"нельзя сравнивать с текущими требованиями говноконтор!
сейчас требуется Пых,а что с ним будет через пяток лет?Он не умрет,нет, но работа будет только в поддержке и переводе на другой язык","73639"
"@minamoto (Это из сейлормун?) Можно, можно. Только вместо одного запроса с одним recordset'ом в результате вы получаете 1 запрос для главной таблицы и n (количество подчинённых) x m (количество значений ключевого поля) для подчинённых. И работа, которую на себя брал бы sqlserver отдаётся клиенту (чтоб служба мёдом не казалась). Вопрос тут один: зачем?","110665"
"Нет, ну вы поглядите - я описал досконально поведение конпелятора и он даже не удасужился прочитать мой коммент. Хотя нет, он читал.@KoVadim, cos(const) будет заменено на константу, любая константа.Конпелятор и делает анализ, создатели конпелятора запилили фичи - никто тебе не мешает делать компилтайм функции в гцц. И эти фичи прямого к косу, сину отношение не имеют. Это те же самый cos()/sin(), это значение не имеет. builtin'ы запилены, как косталь к бинарной либц.","245281"
"@Palmervan, если у человека свой дизайн, то кто-то должен будет его внедрить в ту же джумлу. В любом случае при такой постановке вопроса не вижу смысла самому во всем разбираться.","79306"
"ну это самое простое  решение))) это занимает лишнее время, а это недопустимо))","66095"
"Да не просто ужас а ""говнокод"" автор уже наверное ушел отсюда.","62518"
"Пусть учатся отделять интерфейсную часть от алгоритмической","52252"
"Это жуткий код! Увольте нахрен того, кто это писал. И наймите вменяемых людей.","28179"
"Это не просто говнокод! Это говнокодище!","48912"
"имхо, завязывайте быдлокодить и переходите к шаблонизаторам и mvc!","20636"
"@AlexWindHope, ну ты во первых не хами, во вторых какое тебе дело, была проблема, я ее решил таким способом и посоветовал свой способ ТСу. и в третьих - для того чтоб передать по клику 3 параметра целый класс в приложение мне нахрен не надо.","108214"
"Ой... а что, кто-то смотрит на императивных быдлокодеров как на говно? ;)) Распять таких вверх ногами! :) Ну а ""выкинуть"" пришлось добавить только потому, что ответа на поставленный вопрос (как избежать мумба-юмбы) в случае Java не существует. Принципиально не существует. Чтобы он засуществовал, пришлось и ""выкидывать"". А недостатки, конечно, существуют и в Scala. Только они там другого рода, как бы это правильнее выразиться, другого ""уровня"". Повышая степень абстракции, вы можете исправить ошибки дизайна нижестоящих уровней, но не можете избежать появления ошибок на вышестоящих уровнях.","40207"
"Если вы говорите что код говно для обучения - это вас стоит выгнать из профессии. Это классическое задание на switch. По поводу кода Sh4dow спорить не буду т.к. не по js я специалист. Могу только предположить что это может быть учебным заданием для другого раздела.","31181"
"Ну хоть убейте, но я не знаю как на этом унылом говне можно программировать.

Пока еще не поздно одумайтесь, возьмите вот Python или тот же Ruby, ну на худой конец Scala  или Clojure, но не прикасайтесь к С++ ибо последствия обычно печальны.","29208"
"ах да, о какой  я справедливости говорю. об уважении грешно даже подумать наверно....","94778"
"Если честно, я еще такого тормознутого говна как ""IntelliJ IDEA"" еще не видел, к тому же оно еще и платное!","22534"
"Теперь меня мучает вопрос - зачем ставить куку на полчаса? Хоть один пример использования... )","196565"
"Согласен :) Решают те, кто пишет :) В неумелых руках можно сделать и php и asp.net плохими :) php просто распространен больше, а asp.net уже сдох еще на стадии asp. Серьезные приложения писать говорите? Какие, например?","6334"
"один из тегов в его вопросе ""С++""да и лечится это очень просто (сравниваем с нулём)вместо  if(k1 && (x>y))пишем   if((k1>0) && (x>y))за шарп пока не брался, потому если ответишь, зачем это было сделано буду очень признателен...","145454"
"Ви таки когда-нибудь RTF формировали (мне -- приходилось). И зачем?","172697"
"Да плюньте вы на это говно. Сделайте просто нормальный метод setTitle с нужными параметрами, а не этот нечитабельный строковой бред в качестве ключа.","3282"
"""Делфи сдохло..."", ""делфи говно..."", ""делфи -censured- у с++""...  
А-ха! Съели?  

----  

простите. не мог удержаться. 

----   

Если серьезно, то посмотрите дебаггер CP и посмотрите, как выполняются программы. Истина где-то там","177099"
"Я лично так и не понял какого типа переменные `OutObject` и `OldElement`. Без этого дальнейший разговор бессмысленен.","178009"
"помню, как-то раз читал статью про гуру похапе Евгения Попова, который утверждал что-то похожее, что дескать авторы языков программирования якобы намеренно не раскрывают секретов своих языков, чтобы знать их могли только они сами)) А вообще, молодой человек, прежде чем писать бред, спросите, зачем авторы всяких там хромиумов и линуксов ""втупую сливают"" свой код?","200405"
"И после этого у кого-то поднимется рука на мой тезис ""вон из профессии, если черепашковый язык не освоил""","208043"
"@lampa, у меня уже давно такое ощущение, что обфускаторы и придуммали чтобы говнокод прятать :) В over9000 случаев быстрей свой код написать, чем с этим гуано ковыряться...","210115"
"Минус вопросу за простыню ПХП-говнокода.","234377"
"Я и не собираюсь обижаться я только выбираю CMS a Joomla первая с которой познакомился. Много где слышал что Joomla на айс но так и не услышал почему именно. Вот и вы написали что говно, а почему ответить забыли.

На счет своей CMS рановато мне пока что да и где то тут на сайте читал ответы про свою CMS один особенно запомнился: ""Свои CMS внутри такое г что хоть стой хоть падай""
И еще пару  ответов типа я свою CMS уже 1-5 лет разрабатываю...
Так что своя CMS для меня не вариант нету ни опыта ни столько времени по крайней мере пока что может быть попозже...","80096"
"этот ответ по-моему вообще не актуален, и неправилен.

По секрету скажу, вот отсюда и рождается ""говнокод""","75738"
"Лапша может быть даже удобной - ты взял добавил в лапшичный switch() на 3к строк(привет вовка) ещё один кейс и всё заработало - даже не надо собо нивчем разбираться.

Но вот понять как что там в этом свиче на 3к строк происходит нереал. Да и это маздайское поделие - там уровень аудитории в районе дна. Накачали школьники ide, поставляли ифов и давай продавать на вовжопе или что там у вас, варжопа.


Так и живут эти штуки, а изначально их писали даже более-менее вменяемые люди, и возможно специально так писали, чтобы школьники понимали. Ктож их знает - я появился когда их авторы давно вымерли.","267546"
"Патамучто, вместо того, чтобы чему-то научится - они юзают это говно. Вообще тот, кто чему-то учится должен всё писать с нуля.


Чтобы юзать сканф надо понимать что и как юзать, а уж потом юзать. Если не хочешь понимать - иди в другой ЯП, где есть защита от дурака.


Толку от этой бесполезности? Ну заюзал он примитивный сканф? Что дальше? Попытался бы что-то запилить - не зафейлил так.

А теперь типа код есть, профита нет - пацана порешали, а код этот наполовину копипаста. Вы за него сделали лабу - он пошел жрать ягу дальше.","267835"
"Библиотечный мемсет не может работать так же быстро, как этот. Это либо какой-то специальный читерский мемсет, либо новомодный avx-мемсет, ибо на моём месете ты получишь много фейлов, если будешь юзать его как обычный.


Т.е. если ты прочитаешь 2метра - они не будут в кеше, как на обычно мемсете - они покладут на кеш. Поэтому бибилиотечный мемсет эти фичи не юзает.","268329"
"Можно ещё  снести весь конфиг Гнома, но где он, я там не знаю, у меня KDE.","346894"
"В смысле отформатировать текст кода? Если я всё удалю и напишу по новой, это не поможет мне решить проблему.","281089"
"> Нужно вывести значение key из карты по
> найденному значению volue

...

> Спасибо за ответ! Однако он мне не
> совсем подходит. Я с клавиатуры
> постепенно заполняю карту. Потом ввожу
> одно из значений value. Код должен
> вывести ключ на экран


я привёл пример кода (далее доделываете под свои нужды)
в любом случае стоит подумать над тем что и как вы делаете (и вообще зачем для этого использовать мап)","304490"
"@VladD, cvs есть, но внутренняя и там был собственно он один, я пришёл почти что за день до того как этот ушёл. Он меня не успел добавить и соответственно экземпляра сорцов не осталось, т.к. он снёс всё :) Спасибо за советы - надо будет спланировать побег из курятника) А пока будет здорово, если кто-нибудь поможет с этими вопросами, потому что действительно интересно, как например можно разнести классы по разным жарникам...

P.S. Попробовал убрать вызовы крешрепортера в try-catch... стартер скомпилировался и теперь вроде работает, однако что с основной программой - непонятно...","307398"
"Тащем-то идея со скриптом - не оч. Надо просто сделать ссылку блоком, а остальное поведение унаследуется.","108592"
"Перефразируя классика марксизма-ленинизма: 30 неквалифицированных программистов напишут столько говнокода, что и 100 квалифицированных не разгребут.","144204"
